"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-094" 228926.163770144 6716143.74906547 55 8.10810810810811 1.9
"sm-dnos-095" 228340.498728474 6716216.7549558 161 21.6216216216216 10.6
"sm-dnos-096" 228551.359727366 6716036.27176756 143 24.3243243243243 12.6
"sm-dnos-097" 228454.895750166 6715882.61697617 160 26.1261261261261 9.7
"sm-dnos-098" 228266.069216044 6715857.84664524 167 20.7207207207207 3.8
"sm-dnos-099" 228230.7447612 6715983.90029708 50 7.20720720720721 1.5
"sm-dnos-100" 228043.642787985 6716135.44579113 266 27.9279279279279 12.1
"sm-dnos-101" 227945.203599162 6716310.66409064 63 9.90990990990991 1.6
"sm-dnos-102" 227614.553282398 6716308.06420307 214 20.7207207207207 6.3
"sm-dnos-103" 227421.779112246 6716508.94047799 126 14.4144144144144 2.9
"sm-dnos-104" 227240.478478932 6716692.01072015 229 16.2162162162162 15.7
"sm-dnos-105" 227114.007372641 6716947.19197452 140 15.3153153153153 4
"sm-dnos-106" 226913.325657469 6716978.68962557 219 20.7207207207207 5.2
"sm-dnos-107" 227001.698020386 6717229.45314415 321 43.2432432432432 23.4
"sm-dnos-108" 227234.767802248 6717145.49234291 282 21.6216216216216 10.7
"sm-dnos-109" 227313.938588912 6717300.84484708 276 32.4324324324324 24.3
"sm-dnos-110" 227373.964236801 6717096.07424252 199 21.6216216216216 6.5
"sm-dnos-111" 227335.417168705 6716856.28950073 205 18.9189189189189 4.1
"sm-dnos-112" 227870.22250759 6716126.46337491 196 15.3153153153153 4.8
"sm-dnos-113" 228245.622609082 6716265.26211526 96 14.4144144144144 6.1
"sm-dnos-114" 228081.351076194 6716537.94997503 68 6.30630630630631 2.3
"sm-dnos-115" 227695.950824812 6716726.49869799 112 21.6216216216216 13.6
"sm-dnos-116" 227670.411031069 6716545.38428715 35 4.5045045045045 1.1
"sm-dnos-117" 227523.712431544 6716724.30768306 37 6.30630630630631 1.7
"sm-dnos-118" 227598.746997254 6716910.28698811 131 26.1261261261261 7.2
"sm-dnos-119" 227565.689065949 6717086.20499491 75 28.8288288288288 17.9
"sm-dnos-120" 227571.488426186 6717321.97500679 76 9.90990990990991 4.7
"sm-dnos-121" 227766.327675351 6717363.54116778 307 41.4414414414414 50.1
"sm-dnos-122" 227870.584806801 6717611.57516974 55 4.5045045045045 1.4
"sm-dnos-123" 228620.456038432 6716711.76878805 141 14.4144144144144 6
"sm-dnos-124" 228323.022685034 6716813.49862538 73 6.30630630630631 2.2
"sm-dnos-125" 228077.883519503 6716824.52451911 77 4.5045045045045 1.7
"sm-dnos-126" 227857.602091499 6716773.58093685 81 6.30630630630631 2.1
"sm-dnos-127" 227797.144753388 6716996.53623703 58 4.5045045045045 1.4
"sm-dnos-128" 228072.3699198 6717027.73637774 60 3.6036036036036 1.2
"sm-dnos-129" 228326.781492389 6717034.13004564 59 4.5045045045045 1.7
"sm-dnos-130" 228538.00943053 6717027.04694326 67 5.40540540540541 2.6
"sm-dnos-131" 228443.480182738 6717436.88188328 67 4.5045045045045 1.8
"sm-dnos-132" 228518.95635154 6717225.49268854 154 8.10810810810811 5.2
"sm-dnos-133" 228264.219297021 6717320.26932198 75 4.5045045045045 1.9
"sm-dnos-134" 227999.662193701 6717244.51547601 209 24.3243243243243 21.8
"sm-dnos-135" 227769.172758887 6717226.49310619 214 29.7297297297297 42.9
"sm-dnos-136" 227511.066019951 6717666.73848425 195 18.018018018018 27.1
